zip_path,key,E_input_Eh,E_finished_first_Eh,E_finished_first_opt_Eh,E_finished_last_Eh,E_finished_last_opt_Eh,E_ts_final_geometry_Eh,DFT_barrier_from_first_kcalmol,DFT_barrier_from_first_opt_kcalmol,DFT_barrier_from_last_kcalmol,DFT_barrier_from_last_opt_kcalmol,irc_file,IRC_Left_kJmol,IRC_TS_kJmol,IRC_Right_kJmol,IRC_Left_kcalmol,IRC_TS_kcalmol,IRC_Right_kcalmol,error
10.1021/om900609q/om900609q_si_001/16_-1_2.zip,10.1021/om900609q/om900609q_si_001/16_-1_2,-996.5252834109,-996.5178740652,-996.5232478162,-996.5136846647,-996.5387318664,-996.5019377504,10.0002,13.3723,7.3713,23.0887,16-irc.out,0.00,100.58,60.10,0.0000,24.0392,14.3642,
10.1021/om900609q/om900609q_si_001/11_0_1.zip,10.1021/om900609q/om900609q_si_001/11_0_1,-1112.0444472401,-1112.0037867602,-1112.0330095646,-1112.0072013682,-1112.0068859035,-1111.9834389457,12.7684,31.1060,14.9111,14.7132,11-irc.out,0.00,81.76,31.85,0.0000,19.5411,7.6123,
10.1021/om900609q/om900609q_si_001/30_1_2.zip,10.1021/om900609q/om900609q_si_001/30_1_2,-1404.9930877465,-1404.9593005526,-1404.9669399321,-1404.9808007521,-1405.0066366866,-1404.9559046748,2.1309,6.9247,15.6225,31.8348,30-irc.out,51.71,78.15,0.00,12.3590,18.6783,0.0000,
10.1021/om900609q/om900609q_si_001/21_0_1.zip,10.1021/om900609q/om900609q_si_001/21_0_1,-845.2412968125,-845.1837640680,-845.2026670317,-845.2058963705,-845.2029929125,-845.1867294611,-1.8608,10.0010,12.0274,10.2055,21-irc.out,0.00,37.10,2.89,0.0000,8.8671,0.6907,
10.1021/om900609q/om900609q_si_001/30_0_1.zip,10.1021/om900609q/om900609q_si_001/30_0_1,-1405.2635703715,-1405.2274820636,-1405.2253465098,-1405.2062879633,-1405.2361287888,-1405.2107048516,10.5279,9.1878,-2.7716,15.9538,30-irc.out,11.54,49.77,0.00,2.7581,11.8953,0.0000,
10.1021/om900609q/om900609q_si_001/13_-1_2.zip,10.1021/om900609q/om900609q_si_001/13_-1_2,-1112.0095659150,-1111.9939798345,-1112.0047643021,-1112.0242440647,-1112.0470385309,-1111.9931006045,0.5517,7.3191,19.5428,33.8466,13-irc.out,75.68,116.90,0.00,18.0880,27.9398,0.0000,
10.1021/om900609q/om900609q_si_001/04_1_2.zip,10.1021/om900609q/om900609q_si_001/04_1_2,-841.1791427627,-841.1155183786,-841.1161461317,-841.1173913190,-841.1186905140,-841.1014704726,8.8152,9.2091,9.9905,10.8057,04-irc.out,19.16,51.83,0.00,4.5793,12.3877,0.0000,
10.1021/om900609q/om900609q_si_001/21_1_2.zip,10.1021/om900609q/om900609q_si_001/21_1_2,-844.9795126237,-844.9217675412,-844.9229450014,-844.9512881100,-844.9666647990,-844.9286158373,-4.2974,-3.5585,14.2271,23.8761,21-irc.out,27.43,49.02,0.00,6.5559,11.7161,0.0000,
10.1021/om900609q/om900609q_si_001/13_1_2.zip,10.1021/om900609q/om900609q_si_001/13_1_2,-1111.7831160835,-1111.7599358928,-1111.7806325743,-1111.7529741829,-1111.7580265597,-1111.7423014888,11.0658,24.0531,6.6972,9.8676,13-irc.out,61.51,96.26,0.00,14.7012,23.0067,0.0000,
10.1021/om900609q/om900609q_si_001/11_1_2.zip,10.1021/om900609q/om900609q_si_001/11_1_2,-1111.7525339023,-1111.7309096379,-1111.7327776482,-1111.7594187263,-1111.7816612911,-1111.7266723162,2.6590,3.8312,20.5487,34.5061,11-irc.out,49.24,88.27,0.00,11.7686,21.0970,0.0000,
10.1021/om900609q/om900609q_si_001/28_1_2.zip,10.1021/om900609q/om900609q_si_001/28_1_2,-1035.6298226794,-1035.6008866572,-1035.6087508882,-1035.6171460651,-1035.6500706351,-1035.6012379801,-0.2205,4.7144,9.9825,30.6430,28-irc.out,39.02,72.11,0.00,9.3260,17.2347,0.0000,
10.1021/om900609q/om900609q_si_001/13_0_1.zip,10.1021/om900609q/om900609q_si_001/13_0_1,-1112.0671843286,-1112.0024415468,-1112.0145582515,-1112.0259034357,-1112.0260275323,-1111.9958087108,4.1622,11.7655,18.8847,18.9626,13-irc.out,97.39,132.34,0.00,23.2768,31.6300,0.0000,
10.1021/om900609q/om900609q_si_001/19_0_1.zip,10.1021/om900609q/om900609q_si_001/19_0_1,-845.2452423995,-845.1926982912,-845.1775820802,-845.1858535327,-845.1920325520,-845.1747159525,11.2841,1.7985,6.9889,10.8663,19-irc.out,0.53,39.67,0.00,0.1267,9.4814,0.0000,
10.1021/om900609q/om900609q_si_001/28_0_1.zip,10.1021/om900609q/om900609q_si_001/28_0_1,-1035.9008793341,-1035.8735481866,-1035.8768661305,-1035.8570269229,-1035.8865764996,-1035.8398135626,21.1688,23.2508,10.8015,29.3442,28-irc.out,16.53,82.56,0.00,3.9508,19.7323,0.0000,
10.1021/om900609q/om900609q_si_001/04_-1_2.zip,10.1021/om900609q/om900609q_si_001/04_-1_2,-841.4901585458,-841.4635546335,-841.4532781416,-841.4589243036,-841.4509488673,-841.4521485240,7.1574,0.7088,4.2519,-0.7528,04-irc.out,4.16,12.99,0.00,0.9943,3.1047,0.0000,
10.1021/om900609q/om900609q_si_001/16_1_2.zip,10.1021/om900609q/om900609q_si_001/16_1_2,-996.2922279786,-996.2710806289,-996.2784243845,-996.2993697751,-996.3178626084,-996.2668562752,2.6508,7.2591,20.4025,32.0070,16-irc.out,52.61,91.06,0.00,12.5741,21.7639,0.0000,
10.1021/om900609q/om900609q_si_001/21_-1_2.zip,10.1021/om900609q/om900609q_si_001/21_-1_2,-845.2023235917,-845.2182657615,-845.2229590695,-845.1907293620,-845.2009814530,-845.1935184907,15.5291,18.4742,-1.7502,4.6831,21-irc.out,4.69,40.10,0.00,1.1209,9.5841,0.0000,
10.1021/om900609q/om900609q_si_001/30_-1_2.zip,10.1021/om900609q/om900609q_si_001/30_-1_2,-1405.2019259034,-1405.1835567713,-1405.1929947820,-1405.2132925093,-1405.2177980132,-1405.1833574035,0.1251,6.0475,18.7846,21.6118,30-irc.out,0.00,73.65,47.72,0.0000,17.6028,11.4054,
10.1021/om900609q/om900609q_si_001/28_-1_2.zip,10.1021/om900609q/om900609q_si_001/28_-1_2,-1035.8443396535,-1035.8528517207,-1035.8550376941,-1035.8357771327,-1035.8433143856,-1035.8222585041,19.1975,20.5693,8.4831,13.2128,28-irc.out,46.80,97.04,0.00,11.1855,23.1931,0.0000,
10.1021/om900609q/om900609q_si_001/11_-1_2.zip,10.1021/om900609q/om900609q_si_001/11_-1_2,-1111.9904601335,-1111.9849852471,-1111.9906733232,-1111.9800335823,-1112.0030636601,-1111.9676647577,10.8688,14.4381,7.7616,22.2131,11-irc.out,0.00,99.74,63.96,0.0000,23.8384,15.2868,
10.1021/om900609q/om900609q_si_001/16_0_1.zip,10.1021/om900609q/om900609q_si_001/16_0_1,-996.5821216775,-996.5447007139,-996.5447467166,-996.5437370340,-996.5707721386,-996.5212917563,14.6893,14.7182,14.0846,31.0494,16-irc.out,32.00,81.89,0.00,7.6482,19.5722,0.0000,
10.1021/acscatal.4c05093/cs4c05093_si_001/166_-1_1.zip,10.1021/acscatal.4c05093/cs4c05093_si_001/166_-1_1,-2842.5577185625,-2843.3646729643,-2843.3706654182,-2843.3260507767,-2843.3109217693,-2843.3328402153,19.9754,23.7357,-4.2604,-13.7540,166-irc.out,76.72,133.73,0.00,18.3365,31.9622,0.0000,
10.1021/acscatal.4c05093/cs4c05093_si_001/166_1_1.zip,10.1021/acscatal.4c05093/cs4c05093_si_001/166_1_1,-2842.1214113564,-2843.0749661333,-2843.1322918893,-2843.1903681451,-2843.1955462919,-2843.0912292291,-10.2052,25.7672,62.2106,65.4599,166-irc.out,181.12,249.37,0.00,43.2887,59.6009,0.0000,
10.1021/acscatal.4c05093/cs4c05093_si_001/161_-1_1.zip,10.1021/acscatal.4c05093/cs4c05093_si_001/161_-1_1,-3075.1327378388,-3075.6617776805,-3075.7154875379,-3075.6892261046,-3075.7152010396,-3075.6541838476,4.7652,38.4686,21.9893,38.2889,161-irc.out,0.00,49.30,0.00,0.0000,11.7830,0.0000,
10.1021/acscatal.4c05093/cs4c05093_si_001/149_-1_1.zip,10.1021/acscatal.4c05093/cs4c05093_si_001/149_-1_1,-3076.4556188199,-3076.8805816385,-3076.9301275494,-3076.8708185731,-3076.9298693797,-3076.8788039103,1.1155,32.2061,-5.0109,32.0441,149-irc.out,11.85,157.23,0.00,2.8322,37.5789,0.0000,
10.1021/om060717g/om060717gsi20060807_022837/15_-1_2.zip,10.1021/om060717g/om060717gsi20060807_022837/15_-1_2,-668.8156982567,-668.7568748786,-668.7606807008,-668.7615521300,-668.7599876570,-668.7586928584,-1.1408,1.2474,1.7942,0.8125,15-irc.out,0.00,2.11,0.44,0.0000,0.5043,0.1052,
10.1021/acs.organomet.6b00677/om6b00677_si_003/43_TMS_TS1Me_TMS_E_H_G_D_0_1.zip,10.1021/acs.organomet.6b00677/om6b00677_si_003/43_TMS_TS1Me_TMS_E_H_G_D_0_1,-1394.4724576086,-1394.3997763130,-1394.4044310152,-1394.3995958624,-1394.4073537098,-1394.4115464833,-7.3859,-4.4650,-7.4991,-2.6310,43_TMS_TS1Me_TMS_E_H_G_D-irc.out,0.06,1.29,0.00,0.0143,0.3083,0.0000,
10.1021/acs.organomet.6b00677/om6b00677_si_003/44_TMS_TS1Mebis_E_H_G_D_-1_2.zip,10.1021/acs.organomet.6b00677/om6b00677_si_003/44_TMS_TS1Mebis_E_H_G_D_-1_2,-1394.4856615904,-1394.4808497133,-1394.5049430798,-1394.4584537790,-1394.4215659074,-1394.4332870708,29.8460,44.9648,15.7923,-7.3551,44_TMS_TS1Mebis_E_H_G_D-irc.out,0.00,206.80,153.65,0.0000,49.4264,36.7232,
10.1021/acs.organomet.6b00677/om6b00677_si_003/56_SiHMe2_TS1Me_E_H_G_D_-1_2.zip,10.1021/acs.organomet.6b00677/om6b00677_si_003/56_SiHMe2_TS1Me_E_H_G_D_-1_2,-1355.1550558795,-1355.1497235708,-1355.1539701534,-1355.0935360873,-1355.0904896937,-1355.0779240095,45.0549,47.7197,9.7967,7.8851,56_SiHMe2_TS1Me_E_H_G_D-irc.out,0.00,217.68,150.40,0.0000,52.0268,35.9465,
10.1021/acs.organomet.6b00677/om6b00677_si_003/23_tBu_TS1Me_E_H_G_D_0_1.zip,10.1021/acs.organomet.6b00677/om6b00677_si_003/23_tBu_TS1Me_E_H_G_D_0_1,-1143.0784554041,-1143.0407884045,-1143.0820049993,-1143.0229012590,-1143.0412673360,-1143.0039987054,23.0859,48.9497,11.8615,23.3864,23_tBu_TS1Me_E_H_G_D-irc.out,0.00,178.99,87.99,0.0000,42.7796,21.0301,
10.1021/acs.organomet.6b00677/om6b00677_si_003/48_TMS_TS3Me_E_H_G_D_-1_2.zip,10.1021/acs.organomet.6b00677/om6b00677_si_003/48_TMS_TS3Me_E_H_G_D_-1_2,-1394.4779524601,-1394.4049668508,-1394.4539912529,-1394.4724548473,-1394.4338718101,-1394.3991377574,3.6578,34.4211,46.0072,21.7959,48_TMS_TS3Me_E_H_G_D-irc.out,4.91,139.61,0.00,1.1735,33.3676,0.0000,
10.1021/acs.organomet.6b00677/om6b00677_si_003/102_TS_invert_outer_sphere_E_H_G_D_0_1.zip,10.1021/acs.organomet.6b00677/om6b00677_si_003/102_TS_invert_outer_sphere_E_H_G_D_0_1,-1394.4843584550,-1394.4279172042,-1394.4404331963,-1394.4290552368,-1394.4356109398,-1394.4222348677,3.5657,11.4196,4.2798,8.3936,102_TS_invert_outer_sphere_E_H_G_D-irc.out,1.76,61.22,0.00,0.4207,14.6319,0.0000,
10.1021/acs.organomet.6b00677/om6b00677_si_003/67_TBDMS_TS1Me_E_H_G_D_0_1.zip,10.1021/acs.organomet.6b00677/om6b00677_si_003/67_TBDMS_TS1Me_E_H_G_D_0_1,-1512.4425665031,-1512.3641032767,-1512.3821530708,-1512.4048017830,-1512.4213120115,-1512.3567619090,4.6068,15.9332,30.1455,40.5058,67_TBDMS_TS1Me_E_H_G_D-irc.out,141.20,212.14,0.00,33.7476,50.7027,0.0000,
10.1021/acsomega.1c01292/ao1c01292_si_001/29_0_2.zip,10.1021/acsomega.1c01292/ao1c01292_si_001/29_0_2,-1553.3321500680,-1553.3144887393,-1553.3138436117,-1553.3144964772,-1553.3137949266,-1553.3111279356,2.1089,1.7041,2.1138,1.6736,29-irc.out,0.00,3.49,0.01,0.0000,0.8341,0.0024,
10.1021/acsomega.1c01292/ao1c01292_si_001/29_-1_1.zip,10.1021/acsomega.1c01292/ao1c01292_si_001/29_-1_1,-1553.5641894829,-1553.5432379600,-1553.5440582741,-1553.5427376215,-1553.5439649986,-1553.5384694061,2.9923,3.5071,2.6783,3.4485,29-irc.out,0.00,20.70,0.00,0.0000,4.9474,0.0000,
10.1021/acsomega.1c01292/ao1c01292_si_001/28_-1_1.zip,10.1021/acsomega.1c01292/ao1c01292_si_001/28_-1_1,-1553.5673980872,-1553.5438089540,-1553.5438782841,-1553.5438605726,-1553.5438353937,-1553.5390511241,2.9856,3.0291,3.0180,3.0022,28-irc.out,0.02,21.41,0.00,0.0048,5.1171,0.0000,
10.1021/acsomega.1c01292/ao1c01292_si_001/28_0_2.zip,10.1021/acsomega.1c01292/ao1c01292_si_001/28_0_2,-1553.3352337291,-1553.3162696151,-1553.3142850842,-1553.3162715540,-1553.3142063655,-1553.3133380902,1.8396,0.5942,1.8408,0.5449,28-irc.out,0.00,4.58,0.00,0.0000,1.0946,0.0000,
10.1021/acs.jpca.7b06785/jp7b06785_si_001/29_0_2.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/29_0_2,-111.2324164654,-111.2559400598,-111.2571015656,-111.2241754334,-111.2245852080,-111.1971193673,36.9105,37.6394,16.9779,17.2351,29-irc.out,0.00,178.99,169.23,0.0000,42.7796,40.4469,
10.1021/acs.jpca.7b06785/jp7b06785_si_001/22_0_2.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/22_0_2,-111.2956045060,-111.2570570144,-111.2570936667,-111.2570544313,-111.2570923932,-111.2542332820,1.7719,1.7949,1.7703,1.7941,22-irc.out,0.00,12.17,0.00,0.0000,2.9087,0.0000,
10.1021/acs.jpca.7b06785/jp7b06785_si_001/30_0_2.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/30_0_2,-111.2578414809,-111.2264437918,-111.2249825749,-111.2559113743,-111.2570274587,-111.2282760814,-1.1498,-2.0667,17.3414,18.0418,30-irc.out,0.00,191.89,50.48,0.0000,45.8628,12.0650,
10.1021/acs.jpca.7b06785/jp7b06785_si_001/24_0_2.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/24_0_2,-111.1790201909,-111.1553699296,-111.1540548403,-111.1553580326,-111.1541903804,-111.1798744068,-15.3768,-16.2020,-15.3843,-16.1170,24-irc.out,0.00,11.33,0.00,0.0000,2.7079,0.0000,
10.1021/acs.jpca.7b06785/jp7b06785_si_001/24_1_1.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/24_1_1,-110.8238023586,-110.9945421214,-111.0256356010,-111.0012359301,-111.0257488722,-110.9957659209,-0.7679,18.7435,3.4325,18.8146,24-irc.out,0.00,24.98,0.00,0.0000,5.9704,0.0000,
10.1021/acs.jpca.7b06785/jp7b06785_si_001/25_0_2.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/25_0_2,-111.2556081847,-111.2166147768,-111.2244667361,-111.2244874055,-111.2291913579,-111.2215307164,-3.0848,1.8424,1.8554,4.8071,25-irc.out,0.00,4.92,0.09,0.0000,1.1759,0.0215,
10.1021/acs.jpca.7b06785/jp7b06785_si_001/29_1_1.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/29_1_1,-111.0117011758,-110.9708584462,-110.9589958447,-111.0342623707,-111.0352593885,-110.9899498053,-11.9800,-19.4239,27.8066,28.4322,29-irc.out,158.35,169.25,0.00,37.8466,40.4517,0.0000,
